"id"	"famille"	1808	"Noble"	"Citoyen"	"famille.12e.siecle"
"1"	"abramo"	"0"	"NA"	"0"	"0"
"2"	"acotanto"	"0"	"1"	"0"	"0"
"3"	"acquisti"	"1"	"1"	"0"	"0"
"4"	"adami"	"1"	"1"	"1"	"0"
"5"	"adoaldi"	"0"	"1"	"0"	"0"
"6"	"agadi"	"0"	"1"	"0"	"1"
"7"	"agnusdei"	"0"	"1"	"0"	"0"
"8"	"agrinali"	"0"	"1"	"0"	"0"
"9"	"aicardo"	"0"	"1"	"0"	"0"
"10"	"albani"	"0"	"1"	"0"	"1"
"11"	"alberenghi"	"0"	"1"	"0"	"0"
"12"	"alberti"	"1"	"1"	"1"	"0"
"13"	"d'albore"	"0"	"1"	"0"	"0"
"14"	"albrizzi"	"1"	"1"	"1"	"1"
"15"	"aldobrandini"	"0"	"1"	"0"	"0"
"16"	"aldoi"	"0"	"1"	"0"	"0"
"17"	"alidosio"	"0"	"1"	"0"	"0"
"18"	"altieri"	"0"	"1"	"0"	"0"
"19"	"amadio"	"0"	"1"	"0"	"0"
"20"	"d'amboise"	"0"	"1"	"0"	"0"
"21"	"amigo"	"0"	"1"	"0"	"0"
"22"	"amizo"	"0"	"1"	"0"	"0"
"23"	"angaran"	"1"	"1"	"0"	"0"
"24"	"angiò"	"0"	"1"	"0"	"0"
"25"	"angussola"	"0"	"1"	"0"	"0"
"26"	"anselmi"	"1"	"1"	"1"	"0"
"27"	"antelmi"	"1"	"1"	"1"	"0"
"28"	"aoldi"	"0"	"1"	"0"	"0"
"29"	"arduini"	"0"	"1"	"1"	"0"
"30"	"ariani"	"0"	"1"	"0"	"0"
"31"	"ariberti"	"0"	"1"	"0"	"0"
"32"	"d'arman"	"0"	"1"	"0"	"0"
"33"	"d'armer"	"0"	"1"	"0"	"0"
"34"	"arnaldi"	"1"	"1"	"1"	"0"
"35"	"d'arpino"	"0"	"1"	"0"	"0"
"36"	"d'arpo attendolo"	"0"	"1"	"0"	"0"
"37"	"avanzago"	"0"	"1"	"0"	"0"
"38"	"aventurati"	"0"	"1"	"0"	"0"
"39"	"d'aviano"	"0"	"1"	"0"	"0"
"40"	"avogadro"	"1"	"1"	"0"	"0"
"41"	"avonale"	"0"	"1"	"0"	"0"
"42"	"babilonio"	"0"	"1"	"0"	"1"
"43"	"badoer"	"1"	"1"	"0"	"1"
"44"	"badoari"	"0"	"1"	"0"	"0"
"45"	"partecipazi"	"0"	"1"	"0"	"0"
"46"	"baffo"	"0"	"1"	"0"	"1"
"47"	"baglioni"	"1"	"1"	"1"	"0"
"48"	"balastro"	"0"	"1"	"0"	"0"
"49"	"balbi"	"1"	"1"	"1"	"1"
"50"	"baldovino"	"0"	"1"	"0"	"0"
"51"	"balestrieri"	"0"	"1"	"0"	"0"
"52"	"barbaran"	"1"	"1"	"0"	"0"
"53"	"barbarigo"	"1"	"1"	"0"	"0"
"54"	"barbaro"	"1"	"1"	"1"	"1"
"55"	"barbazini"	"0"	"1"	"0"	"0"
"56"	"barberini"	"0"	"1"	"0"	"0"
"57"	"barbetta"	"1"	"1"	"0"	"0"
"58"	"barbo"	"0"	"1"	"0"	"1"
"59"	"barbolani"	"0"	"1"	"0"	"0"
"60"	"barboniani"	"0"	"1"	"0"	"0"
"61"	"bardonizi"	"0"	"1"	"0"	"0"
"62"	"barizani"	"0"	"1"	"0"	"0"
"63"	"baroni"	"1"	"1"	"0"	"0"
"64"	"barozzi"	"1"	"1"	"0"	"1"
"65"	"barziza"	"1"	"1"	"0"	"0"
"66"	"basadello"	"0"	"1"	"0"	"0"
"67"	"basadonna"	"1"	"1"	"1"	"0"
"68"	"baseggio"	"1"	"1"	"0"	"1"
"69"	"battaja"	"0"	"1"	"0"	"0"
"70"	"baviera"	"0"	"1"	"0"	"0"
"71"	"bazolani"	"0"	"1"	"0"	"0"
"72"	"belegno"	"0"	"1"	"0"	"0"
"73"	"belloni"	"1"	"1"	"1"	"0"
"74"	"bellosello"	"0"	"1"	"0"	"0"
"75"	"bellotto"	"0"	"1"	"0"	"0"
"76"	"bembo"	"1"	"1"	"1"	"1"
"77"	"benado"	"0"	"1"	"0"	"0"
"78"	"benedetti"	"1"	"1"	"1"	"0"
"79"	"bensisi"	"0"	"1"	"0"	"0"
"80"	"bentivoglio"	"1"	"1"	"0"	"0"
"81"	"benzon"	"1"	"1"	"1"	"0"
"82"	"beregan"	"1"	"1"	"0"	"0"
"83"	"berenghi"	"0"	"1"	"0"	"0"
"84"	"bergonci"	"0"	"1"	"0"	"0"
"85"	"berlendis"	"1"	"1"	"1"	"0"
"86"	"bernardo"	"1"	"1"	"1"	"0"
"87"	"betti"	"1"	"1"	"1"	"0"
"88"	"bettoni"	"1"	"1"	"0"	"0"
"89"	"bianca"	"0"	"1"	"0"	"0"
"90"	"bianco"	"0"	"1"	"0"	"1"
"91"	"boccasi"	"0"	"1"	"0"	"0"
"92"	"dalle boccole"	"0"	"1"	"0"	"0"
"93"	"boche"	"0"	"1"	"0"	"0"
"94"	"beco"	"0"	"1"	"0"	"0"
"95"	"bollani"	"1"	"1"	"0"	"0"
"96"	"boldù"	"0"	"1"	"0"	"0"
"97"	"bon"	"1"	"1"	"1"	"0"
"98"	"bonaldi"	"0"	"1"	"1"	"0"
"99"	"bonci"	"0"	"1"	"0"	"0"
"100"	"boncili"	"0"	"1"	"0"	"0"
"101"	"boncompagni"	"1"	"1"	"0"	"0"
"102"	"bondumier"	"1"	"1"	"1"	"0"
"103"	"bonfadini"	"1"	"1"	"1"	"0"
"104"	"bonhomo"	"0"	"1"	"0"	"0"
"105"	"boninsegna"	"0"	"1"	"1"	"0"
"106"	"bonlini"	"1"	"1"	"0"	"0"
"107"	"bonvicini"	"1"	"1"	"0"	"0"
"108"	"bonzeno"	"0"	"1"	"0"	"0"
"109"	"borbone"	"0"	"1"	"0"	"0"
"110"	"bordolo"	"0"	"1"	"0"	"0"
"111"	"borghese"	"0"	"1"	"0"	"0"
"112"	"borgia"	"0"	"1"	"0"	"0"
"113"	"borsello"	"0"	"1"	"0"	"0"
"114"	"borsolo"	"0"	"1"	"0"	"0"
"115"	"braccolani"	"0"	"1"	"0"	"0"
"116"	"bragadin"	"1"	"1"	"1"	"1"
"117"	"brandolin"	"1"	"1"	"0"	"0"
"118"	"bredani"	"0"	"1"	"0"	"0"
"119"	"di brenna"	"0"	"1"	"0"	"0"
"120"	"bressa"	"1"	"1"	"0"	"0"
"121"	"briani"	"1"	"1"	"1"	"0"
"122"	"brioci"	"0"	"1"	"0"	"0"
"123"	"bristolani"	"0"	"1"	"0"	"0"
"124"	"brunswick"	"0"	"1"	"0"	"0"
"125"	"da buora"	"0"	"1"	"0"	"0"
"126"	"buricaldi"	"0"	"1"	"0"	"0"
"127"	"busnadego"	"0"	"1"	"0"	"0"
"128"	"busneghi"	"0"	"1"	"0"	"0"
"129"	"calbo"	"1"	"1"	"1"	"1"
"130"	"calboni"	"0"	"1"	"0"	"0"
"131"	"calergi"	"1"	"1"	"0"	"0"
"132"	"cambigo"	"0"	"1"	"0"	"0"
"133"	"da camin"	"0"	"1"	"0"	"0"
"134"	"campo in collo"	"0"	"1"	"0"	"0"
"135"	"capoinello"	"0"	"1"	"0"	"0"
"136"	"canabri"	"0"	"1"	"0"	"0"
"137"	"canal"	"1"	"1"	"1"	"0"
"138"	"cancanigo"	"0"	"1"	"0"	"0"
"139"	"caotorta"	"1"	"1"	"1"	"0"
"140"	"capoani"	"0"	"1"	"0"	"0"
"141"	"cappello"	"1"	"1"	"1"	"0"
"142"	"caracciolo"	"0"	"1"	"0"	"0"
"143"	"caraffa"	"0"	"1"	"0"	"0"
"144"	"caravello"	"0"	"1"	"0"	"0"
"145"	"carbodici"	"0"	"1"	"0"	"0"
"146"	"carbonizi"	"0"	"1"	"0"	"0"
"147"	"caresini"	"0"	"1"	"1"	"0"
"148"	"carmagnola"	"0"	"1"	"0"	"0"
"149"	"carminati"	"1"	"1"	"0"	"0"
"150"	"garosi"	"0"	"1"	"0"	"0"
"151"	"carosi-cattarini"	"0"	"1"	"0"	"0"
"152"	"carrara"	"1"	"1"	"1"	"0"
"153"	"cassetti"	"1"	"1"	"1"	"0"
"154"	"castelli"	"1"	"1"	"1"	"0"
"155"	"castriotto"	"0"	"1"	"0"	"0"
"156"	"catanio"	"0"	"1"	"0"	"0"
"157"	"catti"	"0"	"1"	"1"	"0"
"158"	"cavagnis"	"1"	"1"	"1"	"0"
"159"	"cavalieri"	"1"	"1"	"0"	"0"
"160"	"cavalli"	"1"	"1"	"1"	"0"
"161"	"cavazza"	"1"	"1"	"1"	"0"
"162"	"celini"	"1"	"1"	"0"	"0"
"163"	"celsi"	"1"	"1"	"1"	"1"
"164"	"centani"	"0"	"1"	"1"	"0"
"165"	"centranigo"	"0"	"1"	"0"	"0"
"166"	"cerbani"	"0"	"1"	"0"	"0"
"167"	"cernovicchio"	"0"	"1"	"0"	"0"
"168"	"chigi"	"0"	"1"	"0"	"0"
"169"	"cibo"	"0"	"1"	"0"	"0"
"170"	"cicogna"	"1"	"1"	"1"	"0"
"171"	"civran-cocco"	"0"	"1"	"0"	"1"
"172"	"cocodrizi"	"0"	"1"	"0"	"0"
"173"	"codagnola"	"0"	"1"	"0"	"0"
"174"	"coleoni"	"0"	"1"	"0"	"0"
"175"	"collalto"	"1"	"1"	"1"	"0"
"176"	"colonna"	"0"	"1"	"1"	"0"
"177"	"comneni"	"0"	"1"	"0"	"0"
"178"	"condulmer"	"1"	"1"	"0"	"0"
"179"	"contanto"	"0"	"1"	"0"	"0"
"180"	"contento"	"0"	"1"	"0"	"0"
"181"	"contarini"	"1"	"1"	"1"	"1"
"182"	"contenti"	"0"	"1"	"0"	"0"
"183"	"de conti"	"0"	"1"	"0"	"0"
"184"	"conti"	"1"	"1"	"1"	"0"
"185"	"contrari"	"0"	"1"	"1"	"0"
"186"	"coppo"	"0"	"1"	"1"	"0"
"187"	"corbadizi"	"0"	"1"	"0"	"0"
"188"	"di cordova"	"0"	"1"	"0"	"0"
"189"	"cornaro"	"0"	"1"	"0"	"0"
"190"	"dal corno"	"0"	"1"	"0"	"0"
"191"	"corregio"	"1"	"1"	"0"	"0"
"192"	"correr"	"1"	"1"	"0"	"0"
"193"	"corvino"	"0"	"1"	"0"	"0"
